Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Annotation Count Gene Protein-coding
GCA_000176215.1	ASM17621v1	Vibrio metoecus		RC341					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4008705	Contig	2009-10-08	ACZT01	3515
GCA_000176235.1	ASM17623v1	Vibrio orientalis CIP 102891 = ATCC 33934		CIP 102891					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4698244	Contig	2009-10-09	ACZV01	4169
GCA_000176375.1	ASM17637v1	Vibrio mimicus MB451		MB-451					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4313453	Contig	2009-10-23	ADAF01	3772
GCA_000176395.1	ASM17639v1	Vibrio cholerae RC27		RC27					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4011779	Contig	2009-10-23	ADAI01	3437
GCA_000176415.1	ASM17641v1	Vibrio mimicus VM223		VM223					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4347971	Contig	2009-10-23	ADAJ01	3257
GCA_000176435.1	ASM17643v1	Vibrio cholerae INDRE 91/1		INDRE 91/1					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	3947707	Contig	2009-10-23	ADAK01	3349
GCA_000176455.1	ASM17645v1	Vibrio cholerae CT 5369-93		CT 5369-93					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	3557309	Contig	2009-10-23	ADAL01	2871
GCA_000176715.1	ASM17671v1	Vibrio sp. RC586		RC586					Annotation submitted by Los Alamos National Laboratory (LANL), National Microbial Pathogen Data Resource (NMPDR)	4082591	Contig	2009-11-03	ADBD01	3533
GCA_000181535.1	ASM18153v1	Vibrio mediterranei AK1		AK1					Annotation submitted by The Gordon and Betty Moore Foundation Microbial Genome Sequencing project	5701826	Contig	2007-06-14	ABCH01	5360
GCA_000182345.1	ASM18234v1	Vibrio parahaemolyticus Peru-466		Peru-466					Annotation submitted by J Craig Venter Institute	5037488	Contig	2009-02-03	ACFM01	4629
GCA_000182365.1	ASM18236v1	Vibrio parahaemolyticus AQ4037		AQ4037					Annotation submitted by J Craig Venter Institute	4939804	Contig	2009-02-03	ACFN01	4489
GCA_000182385.1	ASM18238v1	Vibrio parahaemolyticus AN-5034		AN-5034					Annotation submitted by J Craig Venter Institute	5199902	Contig	2009-02-03	ACFO01	4793
GCA_000182465.1	ASM18246v1	Vibrio parahaemolyticus K5030		K5030					Annotation submitted by MSC	5028244	Contig	2009-03-31	ACKB01	4665
GCA_000182685.1	ASM18268v1	Vibrio harveyi 1DA3		1DA3					Annotation submitted by LNCC/UFRJ/CBS	5930024	Contig	2009-11-23	ACZC01	4954
GCA_000184325.1	ASM18432v1	Vibrio furnissii NCTC 11218		NCTC 11218					Annotation submitted by The University of Exeter	4916408	Complete Genome	2010-12-17		4462
GCA_000186585.1	ASM18658v1	Vibrio vulnificus MO6-24/O		MO6-24/O					Annotation submitted by National Research Laboratory of Molecular Microbiology and Toxicology, Center for Food Safety and Toxicology, Department of Food Science and Biotechnology, Seoul National University, Seoul 151-921, S. Korea.	5007768	Complete Genome	2011-01-24		4562
GCA_000189255.2	ASM18925v1	Vibrio brasiliensis LMG 20546		LMG 20546					Annotation submitted by FDA	4715026	Contig	2011-02-11	AEVS01	4335
GCA_000189275.2	ASM18927v1	Vibrio sinaloensis DSM 21326		DSM 21326					Annotation submitted by FDA	4904906	Contig	2011-02-11	AEVT01	4598
GCA_000195065.1	ASM19506v1	Vibrio cholerae LMA3984-4		LMA3984-4					Annotation submitted by Rede Paraense de Genômica e Proteômica	3738715	Complete Genome	2011-04-05		3153
GCA_000195225.2	ASM19522v1	Vibrio rotiferianus DAT722		DAT722						5329516	Contig	2011-04-06	AFAJ01	
GCA_000195415.2	ASM19541v2	Vibrio parahaemolyticus 10329		10329					Annotation submitted by FDA	5093003	Contig	2011-04-07	AFBW01	4667
GCA_000195475.2	ASM19547v2	Vibrio coralliilyticus P1		P1						5513256	Contig	2011-04-08	AEQS01	
GCA_000196095.1	ASM19609v1	Vibrio parahaemolyticus RIMD 2210633		O3:K6 substr. RIMD 2210633					Annotation submitted by Osaka Univ.	5165770	Complete Genome	2004-05-11		4832
GCA_000217675.1	ASM21767v1	Vibrio anguillarum 775		775					Annotation submitted by Oregon Health and Science University	4052047	Complete Genome	2011-06-09		3731
GCA_000220725.2	ASM22072v2	Vibrio cholerae HC-49A2		HC-49A2					Annotation submitted by Institute for Genome Sciences	4059369	Contig	2011-07-15	AFOM01	3731
GCA_000220745.3	ASM22074v3	Vibrio cholerae HCUF01		HCUF01					Annotation submitted by Institute for Genome Sciences	4067550	Contig	2011-07-15	AFOO01	3753
GCA_000220765.3	ASM22076v3	Vibrio cholerae HE39		HE39					Annotation submitted by Institute for Genome Sciences	3937798	Contig	2011-07-15	AFOQ01	3537
GCA_000220785.2	ASM22078v2	Vibrio cholerae HE48		HE48					Annotation submitted by Institute for Genome Sciences	4179415	Contig	2011-07-15	AFOR01	3862
GCA_000221345.1	ASM22134v1	Vibrio cholerae HC-40A1		HC-40A1					Annotation submitted by Institute for Genome Sciences	4031783	Scaffold	2011-07-29	AFOK01	3692
GCA_000221365.1	ASM22136v1	Vibrio cholerae HC-48A1		HC-48A1					Annotation submitted by Institute for Genome Sciences	4032180	Scaffold	2011-07-29	AFOL01	3701
GCA_000221385.1	ASM22138v1	Vibrio cholerae HC-70A1		HC-70A1					Annotation submitted by Institute for Genome Sciences	4057434	Scaffold	2011-07-29	AFON01	3721
GCA_000221405.1	ASM22140v1	Vibrio paracholerae HE-09		HE-09					Annotation submitted by Institute for Genome Sciences	3826131	Scaffold	2011-07-29	AFOP01	3537
GCA_000221425.1	ASM22142v1	Vibrio cholerae HFU-02		HFU-02					Annotation submitted by Institute for Genome Sciences	4032845	Scaffold	2011-07-29	AFOS01	3697
GCA_000221445.1	ASM22144v1	Vibrio cholerae HC-02A1		HC-02A1					Annotation submitted by Institute for Genome Sciences	3949552	Scaffold	2011-07-29	AFOT01	3659
GCA_000221465.1	ASM22146v1	Vibrio cholerae BJG-01		BJG-01					Annotation submitted by Institute for Genome Sciences	3910867	Scaffold	2011-07-29	AFOU01	3617
GCA_000221485.1	ASM22148v1	Vibrio cholerae HC-38A1		HC-38A1					Annotation submitted by Institute for Genome Sciences	4036059	Scaffold	2011-07-29	AFOV01	3698
GCA_000222145.1	ASM22214v1	Vibrio mimicus SX-4		SX-4					Annotation submitted by National Institute for Communicable Disease Control and Prevention, Chinese Center for Disease Control and Prevention	4273610	Scaffold	2011-08-02	ADOO01	3880
GCA_000222565.2	ASM22256v1	Vibrio sp. N418		N418					Annotation submitted by FDA	4410660	Contig	2011-08-04	AFWD01	4031
GCA_000222585.2	ASM22258v1	Vibrio scophthalmi LMG 19158		LMG 19158					Annotation submitted by FDA	4854288	Contig	2011-08-04	AFWE01	4590
GCA_000222605.2	ASM22260v1	Vibrio ichthyoenteri ATCC 700023		ATCC 700023					Annotation submitted by FDA	4641086	Contig	2011-08-04	AFWF01	4502
GCA_000222625.2	ASM22262v2	Vibrio splendidus ATCC 33789		ATCC 33789					Annotation submitted by Food and Drug Administration	4958736	Contig	2011-08-04	AFWG01	4558
GCA_000222645.2	ASM22264v2	Vibrio orientalis CIP 102891 = ATCC 33934		CIP 102891					Annotation submitted by Food and Drug Administration	4653015	Contig	2011-08-04	AFWH01	4280
GCA_000222665.2	ASM22266v1	Vibrio tubiashii ATCC 19109		ATCC 19109					Annotation submitted by Food and Drug Administration	5467464	Contig	2011-08-04	AFWI01	5201
GCA_000222685.2	ASM22268v1	Vibrio nigripulchritudo ATCC 27043		ATCC 27043					Annotation submitted by Food and Drug Administration	6113582	Contig	2011-08-04	AFWJ01	5770
GCA_000223095.2	ASM22309v2	Vibrio cholerae O1 str. Amazonia		Amazonia						3925563	Contig	2011-07-25	AFSV01	
GCA_000234375.2	ASM23437v2	Vibrio cholerae HC-06A1		HC-06A1					Annotation submitted by Institute for Genome Sciences	4028197	Contig	2011-11-04	AGUI01	3682
GCA_000234395.2	ASM23439v2	Vibrio cholerae HC-23A1		HC-23A1					Annotation submitted by Institute for Genome Sciences	4099188	Contig	2011-11-04	AGUM01	3702
GCA_000234415.2	ASM23441v2	Vibrio cholerae HC-28A1		HC-28A1					Annotation submitted by Institute for Genome Sciences	4027641	Contig	2011-11-04	AGUN01	3681
GCA_000234435.2	ASM23443v2	Vibrio cholerae HC-43A1		HC-43A1					Annotation submitted by Institute for Genome Sciences	4053234	Contig	2011-11-04	AGUQ01	3734
GCA_000234455.3	ASM23445v3	Vibrio cholerae HC-61A1		HC-61A1					Annotation submitted by Institute for Genome Sciences	4067936	Contig	2011-11-04	AGUS01	3730
GCA_000234865.1	ASM23486v1	Vibrio cholerae HC-48B2		HC-48B2					Annotation submitted by Institute for Genome Sciences	4024820	Scaffold	2011-11-10	AGUR01	3691
GCA_000234885.1	ASM23488v1	Vibrio cholerae HC-33A2		HC-33A2					Annotation submitted by Institute for Genome Sciences	4024727	Scaffold	2011-11-10	AGUP01	3667
GCA_000234905.1	ASM23490v1	Vibrio cholerae HC-32A1		HC-32A1					Annotation submitted by Institute for Genome Sciences	4033209	Scaffold	2011-11-10	AGUO01	3689
GCA_000234925.1	ASM23492v1	Vibrio cholerae HC-22A1		HC-22A1					Annotation submitted by Institute for Genome Sciences	4034031	Scaffold	2011-11-10	AGUL01	3697
GCA_000234945.1	ASM23494v1	Vibrio cholerae HC-21A1		HC-21A1					Annotation submitted by Institute for Genome Sciences	4030433	Scaffold	2011-11-10	AGUK01	3695
GCA_000234965.1	ASM23496v1	Vibrio cholerae HC-19A1		HC-19A1					Annotation submitted by Institute for Genome Sciences	4033401	Scaffold	2011-11-10	AGUJ01	3685
GCA_000237405.2	ASM23740v2	Vibrio cholerae O1 str. 2009V-1046		2009V-1046						4014220	Contig	2011-12-12	AHFX01	
GCA_000237425.2	ASM23742v2	Vibrio cholerae O1 str. 2009V-1085		2009V-1085						4014382	Contig	2011-12-12	AHFY01	
GCA_000237445.2	ASM23744v2	Vibrio cholerae O1 str. 2009V-1096		2009V-1096						4016479	Contig	2011-12-12	AHFZ01	
GCA_000237465.2	ASM23746v2	Vibrio cholerae O1 str. 2009V-1116		2009V-1116						4013388	Contig	2011-12-12	AHGA01	
GCA_000237485.2	ASM23748v2	Vibrio cholerae O1 str. 2009V-1131		2009V-1131						4010678	Contig	2011-12-12	AHGB01	
GCA_000237505.2	ASM23750v2	Vibrio cholerae O1 str. 2010EL-1749		2010EL-1749						4009493	Contig	2011-12-12	AHGC01	
GCA_000237525.2	ASM23752v2	Vibrio cholerae O1 str. 2010EL-1961		2010EL-1961						4004160	Contig	2011-12-12	AHGD01	
GCA_000237545.2	ASM23754v2	Vibrio cholerae O1 str. 2010EL-2010H		2010EL-2010H						4018270	Contig	2011-12-12	AHGE01	
GCA_000237565.2	ASM23756v2	Vibrio cholerae O1 str. 2010EL-2010N		2010EL-2010N						4019650	Contig	2011-12-12	AHGF01	
GCA_000237585.2	ASM23758v2	Vibrio cholerae O1 str. 2010V-1014		2010V-1014						4015902	Contig	2011-12-12	AHGG01	
GCA_000237605.2	ASM23760v2	Vibrio cholerae O1 str. 2011EL-1089		2011EL-1089						4013698	Contig	2011-12-12	AHGH01	
GCA_000237625.2	ASM23762v2	Vibrio cholerae O1 str. 2011EL-1133		2011EL-1133						3957581	Contig	2011-12-12	AHGI01	
GCA_000237645.2	ASM23764v2	Vibrio cholerae O1 str. 2011EL-1137		2011EL-1137						4018022	Contig	2011-12-12	AHGJ01	
GCA_000237665.2	ASM23766v2	Vibrio cholerae O1 str. 2011V-1021		2011V-1021						4011850	Contig	2011-12-12	AHGK01	
GCA_000237685.2	ASM23768v2	Vibrio cholerae O1 str. 3500-05		3500-05						4012828	Contig	2011-12-12	AHGL01	
GCA_000237705.2	ASM23770v2	Vibrio cholerae O1 str. 3546-06		3546-06						4012129	Contig	2011-12-12	AHGM01	
GCA_000237725.2	ASM23772v2	Vibrio cholerae O1 str. 3554-08		3554-08						4019938	Contig	2011-12-12	AHGN01	
GCA_000237745.2	ASM23774v2	Vibrio cholerae O1 str. 3569-08		3569-08						3958670	Contig	2011-12-12	AHGO01	
GCA_000237765.2	ASM23776v2	Vibrio cholerae O1 str. 3582-05		3582-05						3975631	Contig	2011-12-12	AHGP01	
GCA_000237785.2	ASM23778v2	Vibrio cholerae O1 str. C6706		C6706						4001202	Contig	2011-12-12	AHGQ01	
GCA_000241385.1	ASM24138v1	Vibrio sp. EJY3		EJY3					Annotation submitted by Computational & Synthetic Biology Laboratory	5452646	Complete Genome	2012-01-05		4786
GCA_000247005.2	ASM24700v2	Vibrio cyclitrophicus 1F111		1F111					NCBI Prokaryotic Genome Annotation Pipeline	5229607	Scaffold	2016-09-16	AHTI02	4284
GCA_000250855.1	ASM25085v1	Vibrio cholerae IEC224		IEC224					Annotation submitted by Instituto Evandro Chagas	4079586	Complete Genome	2012-02-29		3664
GCA_000252345.2	ASM25234v2	Vibrio campbellii PEL22A		PEL22A						5064254	Contig	2012-03-08	AHYY01	
GCA_000256095.2	ASM25609v2	Vibrio cyclitrophicus 1F53		1F53					NCBI Prokaryotic Genome Annotation Pipeline	5082166	Scaffold	2016-09-16	AICZ02	4280
GCA_000256115.2	ASM25611v2	Vibrio cyclitrophicus 1F97		1F97					NCBI Prokaryotic Genome Annotation Pipeline	5340396	Scaffold	2016-09-16	AIDA02	4523
GCA_000256135.2	ASM25613v2	Vibrio cyclitrophicus 1F175		1F175					NCBI Prokaryotic Genome Annotation Pipeline	5276659	Scaffold	2016-09-16	AIDB02	4503
GCA_000256165.2	ASM25616v2	Vibrio cyclitrophicus 1F273		1F273					NCBI Prokaryotic Genome Annotation Pipeline	5195287	Scaffold	2016-09-16	AIDC02	4397
GCA_000256185.2	ASM25618v2	Vibrio cyclitrophicus 1F289		1F289					NCBI Prokaryotic Genome Annotation Pipeline	5056222	Scaffold	2016-09-16	AIDD02	4259
GCA_000256205.2	ASM25620v2	Vibrio cyclitrophicus FF75		FF75					NCBI Prokaryotic Genome Annotation Pipeline	5001944	Scaffold	2016-09-16	AIDE02	4251
GCA_000256245.1	Vibcyclo-FF-274_1.0	Vibrio cyclitrophicus FF274		FF274						5150900	Scaffold	2012-04-12	AIDG01	
GCA_000256265.2	ASM25626v2	Vibrio cyclitrophicus ZF14		ZF14					NCBI Prokaryotic Genome Annotation Pipeline	5224564	Scaffold	2016-09-16	AIDH02	4318
GCA_000256285.2	ASM25628v2	Vibrio cyclitrophicus ZF28		ZF28					NCBI Prokaryotic Genome Annotation Pipeline	4900035	Scaffold	2016-09-16	AIDI02	4139
GCA_000256305.2	ASM25630v2	Vibrio cyclitrophicus ZF30		ZF30					NCBI Prokaryotic Genome Annotation Pipeline	5033552	Scaffold	2016-09-16	AIDJ02	4292
GCA_000256325.2	ASM25632v2	Vibrio cyclitrophicus ZF65		ZF65					NCBI Prokaryotic Genome Annotation Pipeline	4910949	Scaffold	2016-09-16	AIDK02	4169
GCA_000256345.2	ASM25634v2	Vibrio cyclitrophicus ZF99		ZF99					NCBI Prokaryotic Genome Annotation Pipeline	4917290	Scaffold	2016-09-16	AIDL02	4139
GCA_000256365.2	ASM25636v2	Vibrio cyclitrophicus ZF170		ZF170					NCBI Prokaryotic Genome Annotation Pipeline	4872233	Scaffold	2016-09-16	AIDM02	4145
GCA_000256385.2	ASM25638v2	Vibrio cyclitrophicus ZF207		ZF207					NCBI Prokaryotic Genome Annotation Pipeline	5051453	Scaffold	2016-09-16	AIDN02	4282
GCA_000256405.2	ASM25640v2	Vibrio cyclitrophicus ZF205		ZF205					NCBI Prokaryotic Genome Annotation Pipeline	4892674	Scaffold	2016-09-16	AIDO02	4121
GCA_000256425.1	Vibcyclo-ZF-255_1.0	Vibrio cyclitrophicus ZF255		ZF255						4968591	Scaffold	2012-04-12	AIDP01	
GCA_000256445.2	ASM25644v2	Vibrio cyclitrophicus ZF264		ZF264					NCBI Prokaryotic Genome Annotation Pipeline	4910942	Scaffold	2016-09-16	AIDQ02	4149
GCA_000256465.2	ASM25646v2	Vibrio cyclitrophicus ZF270		ZF270					NCBI Prokaryotic Genome Annotation Pipeline	5182207	Scaffold	2016-09-16	AIDR02	4285
GCA_000256485.1	Vsplend_12F01_1.0	Vibrio splendidus 12F01		12F01						5810698	Contig	2012-03-26	AIDS01	
GCA_000256605.2	ASM25660v2	Vibrio cyclitrophicus FF160		FF160					NCBI Prokaryotic Genome Annotation Pipeline	5191142	Scaffold	2016-09-16	AIDF02	4378
GCA_000257165.1	ASM25716v1	Vibrio anguillarum 96F		96F						4062170	Contig	2011-06-22	AEZA01	
GCA_000257185.1	ASM25718v1	Vibrio anguillarum RV22		RV22						4012743	Contig	2011-06-22	AEZB01	
GCA_000257205.1	ASM25720v1	Vibrio ordalii ATCC 33509		ATCC 33509						3412166	Contig	2011-06-22	AEZC01	
GCA_000257415.2	ASM25741v2	Vibrio cholerae 2011EL-301		2011EL-301						4002872	Contig	2013-03-15	AJFN02	
GCA_000259295.1	ASM25929v1	Vibrio tubiashii NCIMB 1337 = ATCC 19106		NCIMB 1337					Annotation submitted by Plymouth Marine Laboratory	5328293	Contig	2012-04-19	AHHF01	4868
GCA_000259875.1	ASM25987v1	Vibrio campbellii DS40M4		DS40M4						5124098	Contig	2011-11-28	AGIE01	
GCA_000259935.1	ASM25993v1	Vibrio harveyi CAIM 1792		CAIM 1792					Annotation submitted by CIAD, A.C.	5827413	Contig	2012-02-03	AHHQ01	5276
GCA_000269725.1	ASM26972v1	Vibrio vulnificus JY1305		JY1305						4950327	Contig	2012-06-18	AFSW01	
GCA_000269745.1	ASM26974v1	Vibrio vulnificus E64MW		E64MW						4962682	Contig	2012-06-18	AFSX01	
GCA_000269765.1	ASM26976v1	Vibrio vulnificus JY1701		JY1701						4938837	Contig	2012-06-18	AFSY01	
GCA_000272045.2	ASM27204v2	Vibrio crassostreae 9ZC13		9ZC13					NCBI Prokaryotic Genome Annotation Pipeline	5009683	Scaffold	2016-09-16	AJYZ02	4168
